batch_size,dec_init,dec_layers,dec_rnn,dec_size,device,dropout,enc_cnn,enc_dec_hidden_init,enc_init,enc_layers,enc_rnn,enc_size,exp_name,i3d,i3d_after,ind_size,learning_rate,lmbda_norm,max_epochs,mini,neg_pred_weight,no_chkpt,norm_threshold,num_frames,optimizer,output_cnn_size,overwrite,patience,pred_embeddings_assist,pred_margin,quick_run,reload,setting,shuffle,sigmoid_mlp,teacher_forcing_ratio,verbose,weight_decay,acchalf,avg_neg_prob,avg_norm,avg_pos_prob,best_acc,cos_similarity,dset_fragment,f1,f1half,fn,fnhalf,fp,fphalf,l2_distance,legit_f1,pat_distance,pat_norm,thresh,tn,tnhalf,tp,tphalf
100,unit,2,lstm,1875.0,cuda,0.1,vgg,False,unit,2,lstm,2250.0,jade4-24,True,False,10,0.0003,0.5,1000,False,1.0,False,1.0,8,Adam,4096,False,7,0.0,10.0,False,,embeddings,True,False,0.7,False,0.1,0.927887323943662,0.0022225715962640854,0.8892,0.0020212702136884514,0.07211267605633803,0.8731,val,0.13469932120914796,0.0001,0,384,4941,0,0.5313,0.13469932120914796,0.4461291218301401,0.8891853651950683,-0.007777428403735915,0,4941,384,0
100,unit,2,lstm,1875.0,cuda,0.1,vgg,False,unit,2,lstm,2250.0,jade4-25,True,False,10,0.0003,1.0,1000,False,1.0,False,1.0,8,Adam,4096,False,7,0.0,10.0,False,,embeddings,True,False,0.7,False,0.1,0.927887323943662,0.0026668949584221333,0.8814,0.0023498099447531386,0.07211267605633803,0.8727,val,0.13469932120914796,0.0001,0,384,4941,0,0.5149,0.13469932120914796,0.44982116186405613,0.881380106404357,-0.007333105041577867,0,4941,384,0
100,unit,2,lstm,1875.0,cuda,0.1,vgg,False,unit,2,lstm,2250.0,jade4-26,True,False,10,0.0003,1.5,1000,False,1.0,False,1.0,8,Adam,4096,False,7,0.0,10.0,False,,embeddings,True,False,0.7,False,0.1,0.927887323943662,0.002590734392186869,0.907,0.0022479669251286153,0.6262910798122066,0.874,val,0.13941792497652625,0.0001,223,384,1767,0,0.5298,0.13941792497652625,0.439220831975141,0.9069897511143976,7.343921867809453e-07,3174,4941,161,0
100,unit,2,lstm,1875.0,cuda,0.1,vgg,False,unit,2,lstm,2250.0,jade4-27,True,False,10,0.0003,0.5,1000,False,1.0,False,1.0,8,Adam,4096,False,7,0.0,10.0,False,,embeddings,True,False,0.7,False,0.01,0.927887323943662,0.002762879547204695,0.8932,0.0020662345549098677,0.07211267605633803,0.8779,val,0.13469932120914796,0.0001,0,384,4941,0,0.504,0.13469932120914796,0.42081004920819476,0.8932276448087791,-0.007237120452795305,0,4941,384,0
100,unit,2,lstm,1875.0,cuda,0.1,vgg,False,unit,2,lstm,2250.0,jade4-28,True,False,10,0.0003,1.0,1000,False,1.0,False,1.0,8,Adam,4096,False,7,0.0,10.0,False,,embeddings,True,False,0.7,False,0.01,0.927887323943662,0.004015432579936973,0.9207,0.003184645780208295,0.7012206572769953,0.877,val,0.1488773140951436,0.0001,245,384,1346,0,0.4948,0.1488773140951436,0.42901155719014467,0.9207102161583709,1.5432579936901572e-05,3595,4941,139,0
100,unit,2,lstm,1875.0,cuda,0.1,vgg,False,unit,2,lstm,2250.0,jade4-29,True,False,10,0.0003,1.5,1000,False,1.0,False,1.0,8,Adam,4096,False,7,0.0,10.0,False,,embeddings,True,False,0.7,False,0.01,0.927887323943662,0.003964866031824763,0.9176,0.0032590848850138285,0.07211267605633803,0.8774,val,0.13469932120914796,0.0001,0,384,4941,0,0.5011,0.13469932120914796,0.42530632678602565,0.9175645613101839,-0.006035133968175237,0,4941,384,0
100,unit,2,lstm,2500.0,cuda,0.1,vgg,False,unit,2,lstm,3000.0,jade4-30,True,False,10,0.0003,0.5,1000,False,1.0,False,1.0,8,Adam,4096,False,7,0.0,10.0,False,,embeddings,True,False,0.7,False,0.1,0.927887323943662,0.0026550437703709586,0.8595,0.0022524200423804518,0.6281690140845071,0.8747,val,0.14151479151694393,0.0001,221,384,1759,0,0.517,0.14151479151694393,0.44256501306187024,0.8595285981493807,5.043770370871843e-06,3182,4941,163,0
100,unit,2,lstm,2500.0,cuda,0.1,vgg,False,unit,2,lstm,3000.0,jade4-31,True,False,10,0.0003,1.0,1000,False,1.0,False,1.0,8,Adam,4096,False,7,0.0,10.0,False,,embeddings,True,False,0.7,False,0.1,0.927887323943662,0.003862311813161611,0.9093,0.003134111278107091,0.07211267605633803,0.8717,val,0.13469932120914796,0.0001,0,384,4941,0,0.5314,0.13469932120914796,0.4539412029098647,0.9093303691079471,-0.006137688186838389,0,4941,384,0
100,unit,2,lstm,2500.0,cuda,0.1,vgg,False,unit,2,lstm,3000.0,jade4-32,True,False,10,0.0003,1.5,1000,False,1.0,False,1.0,8,Adam,4096,False,7,0.0,10.0,False,,embeddings,True,False,0.7,False,0.1,0.927887323943662,0.003324878862069484,0.8613,0.0026220456935233563,0.07211267605633803,0.8742,val,0.13469932120914796,0.0001,0,384,4941,0,0.5228,0.13469932120914796,0.4431522311379053,0.8612515396048521,-0.006675121137930517,0,4941,384,0
100,unit,2,lstm,2500.0,cuda,0.1,vgg,False,unit,2,lstm,3000.0,jade4-33,True,False,10,0.0003,0.5,1000,False,1.0,False,1.0,8,Adam,4096,False,7,0.0,10.0,False,,embeddings,True,False,0.7,False,0.01,0.927887323943662,0.003936595632312146,0.8903,0.003143008761487344,0.07211267605633803,0.8765,val,0.13469932120914796,0.0001,0,384,4941,0,0.5178,0.13469932120914796,0.43211709140576476,0.8902739201146338,-0.006063404367687854,0,4941,384,0
100,unit,2,lstm,2500.0,cuda,0.1,vgg,False,unit,2,lstm,3000.0,jade4-34,True,False,10,0.0003,1.0,1000,False,1.0,False,1.0,8,Adam,4096,False,7,0.0,10.0,False,,embeddings,True,False,0.7,False,0.01,0.927887323943662,0.0033356453716811563,0.9135,0.00269460464926089,0.07211267605633803,0.8775,val,0.13469932120914796,0.0001,0,384,4941,0,0.5108,0.13469932120914796,0.41990492050987066,0.9134573585585581,-0.006664354628318844,0,4941,384,0
100,unit,2,lstm,2500.0,cuda,0.1,vgg,False,unit,2,lstm,3000.0,jade4-35,True,False,10,0.0003,1.5,1000,False,1.0,False,1.0,8,Adam,4096,False,7,0.0,10.0,False,,embeddings,True,False,0.7,False,0.01,0.927887323943662,0.002784885006466023,0.9308,0.0022167511536736358,0.7258215962441315,0.8748,val,0.15129339400008052,0.0001,254,384,1206,0,0.5188,0.15129339400008052,0.43637617103389054,0.9307995017523559,1.4885006465937232e-05,3735,4941,130,0
100,unit,2,lstm,1250.0,cuda,0.1,vgg,False,unit,2,lstm,1500.0,jade4-36,True,False,10,0.0001,0.5,1000,False,1.0,False,1.0,8,Adam,4096,False,7,0.0,10.0,False,,embeddings,True,False,0.7,False,0.1,0.927887323943662,0.002422157907265893,0.8749,0.00214288870647195,0.07211267605633803,0.8735,val,0.13469932120914796,0.0001,0,384,4941,0,0.5239,0.13469932120914796,0.4452172230634888,0.8748811374122801,-0.007577842092734107,0,4941,384,0
100,unit,2,lstm,1250.0,cuda,0.1,vgg,False,unit,2,lstm,1500.0,jade4-37,True,False,10,0.0001,1.0,1000,False,1.0,False,1.0,8,Adam,4096,False,7,0.0,10.0,False,,embeddings,True,False,0.7,False,0.1,0.927887323943662,0.00345627383541891,0.9003,0.0026433095504418175,0.07211267605633803,0.8753,val,0.13469932120914796,0.0001,0,384,4941,0,0.5206,0.13469932120914796,0.43726412785390806,0.9002919722953603,-0.00654372616458109,0,4941,384,0
100,unit,2,lstm,1250.0,cuda,0.1,vgg,False,unit,2,lstm,1500.0,jade4-38,True,False,10,0.0001,1.5,1000,False,1.0,False,1.0,8,Adam,4096,False,7,0.0,10.0,False,,embeddings,True,False,0.7,False,0.1,0.927887323943662,0.0018137282811950227,0.8511,0.0017546479893896002,0.07211267605633803,0.8704,val,0.13469932120914796,0.0001,0,384,4941,0,0.5338,0.13469932120914796,0.456872860050237,0.8511355695177297,-0.008186271718804978,0,4941,384,0
100,unit,2,lstm,1250.0,cuda,0.1,vgg,False,unit,2,lstm,1500.0,jade4-39,True,False,10,0.0001,0.5,1000,False,1.0,False,1.0,8,Adam,4096,False,7,0.0,10.0,False,,embeddings,True,False,0.7,False,0.01,0.927887323943662,0.0040951705717870894,0.9165,0.0033035293533391218,0.6655399061032864,0.8792,val,0.14839442574617004,0.0001,229,384,1552,0,0.5003,0.14839442574617004,0.41980344667786457,0.9164858695824704,5.170571787019296e-06,3389,4941,155,0
